message,label
Không ngờ hàng đúng như quảng cáo  tôi mua nhiều trên Lazada và kinh nghiệm là đều trừ đi 30% so với những gì quảng cáo. Tuy nhiên lần đầu tiên sản phẩm này đúng như giới thiệu. Các bác dùng nhớ điều chỉnh công tắc khoan tường (búa) và khoan gỗ (xoay) để sử dụng đúng chức năng nhé.,positive
Máy khoan tuyệt vời   êm  nhẹ tay và cực mạnh  rất thích. Hài lòng về hàng hóa và cách giao hàng của lazada rất đúng thời gian.,positive
Tôi đã mua sản phẩm 1 bộ máy khoan 103 chi tiết  sản phẩm dùng tốt và phù hợp với mọi gia đình cá nhân,positive
Máy khoan tuyet voi  âm thanh êm  nhẹ tay và cực mạnh. Mua về xài thử rất thích. Nói chung thật sự hài lòng về hàng hóa cung như cách giao hang của lazada.,positive
Đặt hàng hôm trước  hôm sau được nhận hàng  khá khen thay Lazada !  Máy khỏe  tốt  Cảm ơn các bạn rất nhiều nhé !,positive
Rất hài lòng sản phẩm!  Lazada giao hàng ngày càng tiến bộ  rất nhanh chóng!  Mua được bộ sản phẩm giá hợp lý,positive
Mình đặt hàng 3 ngày tới nơi. Máy khoẻ khoan tốt nhưng kêu hơi to. Hài lòng về chất lượng khi ss với giá cả.,positive
Bộ khoan vừa túi tiền của người tiêu dùng  khi mua bộ khoan đầy đủ chức năng và phụ kiện khi sử dụng,positive
Máy ngon  chính hãng  giá rẻ!!!,positive
Máy xài ngon  phong cách phục vụ nhân viên giao hàng tốt,positive
giá thành rẻ...khoan mạnh ....hình dáng đẹp chắc chắn...  ..muốn mua thêm cây nửa tặng người thân,positive
Chưa sử dung. Nhìn ngoài oke,positive
máy khỏe  tốt  rất hợp túi tiền  Mua ngay dùng trong nhà ok  giá hợp lý,positive
ok,positive
Vì hay làm mấy việc lặt vặt cho nhiều người  cũng dùng qua khá nhiều máy khoan: Bosch  DEG  Makita thì thấy thằng B&amp;D này xài cũng khá tốt. Khoan bê tông hay sắt  gỗ nếu biết điều chỉnh đầu búa thì khoan ngon hơn Makita cùng công suất.  - Máy đáp ứng tốt cho nhu cầu sử dụng trong gia đình với mức giá (mình mua 599K)  - Với các mũi khoan kèm theo thì chỉ xài tạm được các mũi khoan sắt  còn mũi khoan bê tông thì quá tệ  các bạn nên mua mũi khoan bê tông loại tốt do VN sản xuất khoan ngon hơn.,positive
Mình mới mua  dùng tốt xứng. Quảng cáo 37 chi tiết chắc là tính 10 bộ vít nở (10 vít+10 tít kê = 20 chi tiết). Máy khoan tường có chế độ búa. Bật qua chế độ này khoan tường tốt mà. Vì công suất 700W nên khoan bê tông hơi yếu thôi. Tôi cảm thấy hài lòng vì đã mua sản phẩm này chỉ 599K thôi.,positive
Minh vua mua thay dung san pham rat tot toc do khoan manh khoan khoe va tieng keu ko qua on.noi chung rat hai long vi da mua duoc chiec khoan nay,positive
Thấy mấy bạn cứ nghi ngờ hàng tq với cả bảo ko khoan được chắc là ko biết dùng thôi. Máy nó có chế độ khoan gỗ  gạch cứng và bê tông. Rồi còn có mũi khoan tương ứng nữa. Nên tìm hjeu kỹ hướng dẫn trước sd nhé. Mình mới nhận hàng hôm nay sd thấy rất ổn. Chế độ khoan gỗ rất êm và ngọt. Ko hối tiếc chút nào. Ấn tượng nhất với tác phong giao hàng của lzd nữa. Cực nhanh và chuyên nghiệp. ,positive
may rat tuyet  ,positive
máy chạy tốt.giao hàng nhanh.,positive
Lazada bán hàng chuyên nghiệp. Hàng tốt. Mình đã mua hơn chục triệu tiền hàng ở đây.  Mình mua máy khoan BLACK &amp; DECKER KR704REKP20-B1 một tuần rồi  hôm nay mới dùng. Rất OK với gia đình mình.  Mình sẽ tiếp tục mua hàng ở Lazada nếu tìm được hàng phù hợp có GIÁ bằng (hoặc rẻ hơn) thị trường.,positive
toi xem thong tin thi thay la san pham tot,positive
Đặt hàng lúc 6h tối mà sáng hôm sau đã nhận được hàng. Máy mạnh dùng rất thích ;). ,positive
Rất tốt.,positive
Sản phẩm Tốt giao hàng nhanh giá cực tốt ,positive
bữa bị trộm lấy xe  chút nữa thì mất  may có cái này tìm lại được. cảm ơn,positive
Hàng tốt  chất lượng cao. Sản phẩm nông nghiệp hữu cơ Canada thì khỏi chê.,positive
Tôi thích sản phẩm này vì nó rất tiện lợi  sản phẩm tốt,positive
Sản phẩm rất tiện lợi  giúp người học có thể nâng Cao trình độ tiếng anh của mình ở mọi nơi mọi lúc  - Sản phẩm nhỏ gọn dễ mang theo khi sử dụng,positive
Cạo rất sạch dù là k dùng kem.   ,positive
Nội dung đơn giản  dễ tiếp thu,positive
thảm tập dày dặn   tập nhiều không bị lún . Sản phẩm rất ok ,positive
Rất êm tập rất thích  túi đựng chắc chắn dày  đẹp  Hình thấy rất hài lòng khi mua dc sp như thế này,positive
Sản phẩm chất lượng tốt. Dịch vụ chăm sóc khách hàng tốt. Đặt hàng nhanh và uy tín.,positive
5* rồi...  Mẫu mã đẹp  chất lượng hài lòng.  ,positive
Khoá sử dụng tốt  đúng như mô tả. Giao hành nhanh.,positive
Hài lòng về tính dễ dùng  còn an toàn hay không nhất là ổ khóa có chống được trộm hay không thì không biết được.  nói chung là cũng đáng mua,positive
Tốt. Cảm ơn lazada,positive
MỚi dung thu chua biết giao hang dung ngày.khóa ok..,positive
Mới mua nhìn rất cưng cáp  giao hàng nhanh .Thử 1 tháng mua thêm 1 cái nữa ,positive
Sản phẩm tốt  đóng gói cẩn thận  giao hàng nhanh  chu đáo. Chưa sử dụng lâu nên chưa thể đánh giá độ bền.,positive
Nhiều lần mua hàng trên Lazada của gian hàng Alobuy  thấy nhiều sản phẩm rẻ hơn những gian hàng khác  chất lượng thì cũng ok...lần này thấy bán ổ khóa thắng đĩa Z-Con này còn rẻ hơn ở ngoài tiệm bán nhiều...nên đã mua thêm 1 cái ^^,positive
Chất lượng tốt  hình ảnh cao cấp.,positive
quạt gió đều   mát dịu kg hổn gió  chạy khá êm  kiểu gọn nhẹ dể thương.kèm ke  ốc bắt trần nhanh lẹ dể gắng.trên dây có công tắc tiện lợi.,positive
Good,positive
Vừa đèn pin  đèn báo động  cắt dây an toàn khi nguy cấp và kiêm luôn búa thoát hiểm - quá tuyệt vời cho 1 sản phẩm đa năng như vậy. Mỗi tài xế xe hơi  xe bus  xe khách  xe tải... đều cần phải mua 1 công cụ như thế này để bảo vệ mình và người trên xe khi cần thiết. Ở các nước tiên tiến những thứ này là bắt buộc phải có  nhưng ở VN mình nhiều người còn xem nhẹ. Chỉ khi nào gặp nạn mới thấy được sự cần thiết và sống còn khi có công cụ bảo vệ mình trong tay ,positive
Chất lượng in của Flashcard rất tốt  chữ rõ ràng  dễ học. Nhưng lưu ý khi mua  cần xem xét kĩ vì đây là Flashcard những mẫu câu thông dụng  không phải Flashcard học từ vựng. Cẩn thận nhé!,positive
Sản phẩm tốt  hiệu quả trắng &amp; sáng thể hiện sau 2 tuần sử dụng. Mình hài lòng nhất là da đều màu hơn nhanh chóng,positive
máy xài ok lắm tiện lợi nhanh chóng giá rẻ xay cháo trái cây cho bé tuyệt vời,positive
rất thơm,positive
rất rất tuyệt vời,positive
Rất tiện ích   máy khỏe   dễ sử dụng và vệ sinh .,positive
mình thấy dùng rất tốt lại tiết kiệm chi phí,positive
Máy dùng tốt,positive
Giá tốt,positive
Dung tot  khoe  gia tot,positive
Sp tot,positive
Hàng nhập nguyên con  còn nguyên vỏ chưa bóc seal. Sử dụng tốt đến nay chưa thấy có phát sinh lỗi lầm gì. Lần đầu tiền mua hàng tại lazada thấy suôn sẻ và vui vẻ. Sẽ tiếp tục nếu có nhu cầu.,positive
vừa tiện lợi lại vừa không thấm nước  tôi hài lòng,positive
Bao bọc khá cẩn thận  dùng tốt. Hiện tại chưa thấy gì không ổn. :),positive
Máy đọc sách Kindle của Amazon luôn làm mình hài lòng. Mình dùng hàng này thấy ổn không có vấn đề gì. ,positive
Tốt  rất đắng và thơm. Tuy nhiên hơi khó tan 1 chút  như vậy cũng rất tuyệt rồi,positive
trà rất tuyệt,positive
Sản phẩm tiện dụng nên có trong gia đình  ánh sáng tốt  pin dùng 10 ngày rồi vẫn chưa xạc lần nào  Vote cho sản phẩm này  chất lượng và giá hợp lý,positive
Rất vừa ý.. thái nhanh  mỏng và đều,positive
Cong dung rat tuyet gia thanh phu hop,positive
Tuyệt vời  ,positive
Tốt  giá rẻ  giải phóng đối tay lao đôgj của chi em!,positive
Rất tiện lợi và dễ sử dụng,positive
Sản phẩm rất độc đáo và tiện dụng,positive
Phuc vu tot 5 sao nha  hai long tuyet doi .,positive
Đèn pin sạc led màu vàng tươi bắt mắt  chức năng chiếu sáng tốt  độc đáo!  ,positive
Tôi mới dùng dc 2 ngày thấy sản phẩm cũng ok  độ sáng rất tốt,positive
Hàng đóng gói cẩn thận. Sản phẩm dùng sau 10 ngày vẫn tốt.,positive
tốt lắm ,positive
Tốt,positive
Sản phẩm tốt,positive
Trong tầm giá này  khó sản phẩm qua sản phẩm này  tiện dụng  và nhiều chức năng,positive
TỐT,positive
Tốt  pin dùng lâu  tiện dụng trong gia đình  giá hợp lý,positive
Hai long sai tot,positive
Sản phẩm đẹp và tiện ích  pin xài 5 tiếng  rất hài lòng,positive
Xài ok. Giao nhanh. Tuyệt!,positive
tốt,positive
Sản phâm rất tuyệt  rất hữu dụng nên có trong nhà  giá rẻ,positive
tốt,positive
tốt,positive
sản phẩm tuyệt vời trong tầm giá,positive
pin dùng đựợc rất lâu. sáng tốt  gom lại là rất tuyệt.,positive
Đèn đẹp đúng như hình chụp  pin xài lâu  chiếu xa  tiện dụng khi đèn phía sau có thể dùng làm đèn ngủ...nói chung sản phẩm rất tuyệt  giá cả phải chăng.,positive
của bền tại người nữa  đèn tốt người biết cẩn thận thi lâu hỏng,positive
Hài lòng tuyệt đối,positive
Sản phẩm chắc chắn. Ánh sáng rọi xa. Giá tốt.,positive
Sáng  pin giữ khá lâu.  Nói chung là tốt.,positive
Sản phẩm tôi rất ưng ý mong tiếp tục phát huy ,positive
Thiết kế nhỏ gọn  chắc chắn  ánh sáng tốt  pin dùng lâu...rất tuyệt trong tầm giá này,positive
Sản phẩm tốt  pin xài lâu  nhiều chức năng tiện dụng trong cuộc sống hằng ngày...giá tiền hợp lý,positive
Rat tot va tien,positive
GIAO HÀNG NHANH,positive
Đã nhận hàng   đèn sáng và tiện lợi..mẫu mã đẹp ..chắc chắn . Nên mua dùng khi cúp điện hay du lịch,positive
Sản phẩm quá tiện lợi khi cúp điện hoặc đi trong tối  thanks Lazada,positive
Thiết kế đẹp  pin xài lâu  ánh sáng mạnh  có thể dùng như đèn pin hoặc đèn để bàn. Thật tiện dụng khi nhà bị cúp điện hoặc đi đường tối  good,positive
tôi đã từng sử dụng qua loại mùng này rồi. Chất lượng rất tốt! chất dầy dặn. Tôi sẽ đặt mua thêm 1 cái trên Lazada!,positive
Sang  đẹp  mạnh  tiện dụng!,positive
sản phẩm dùng tốt  tôi ưng ý,positive
Đèn chiếu sáng xa  rất tiện lợi  chắc chắn,positive
Cái này vừa có mùi thơm lại khử được các mùi hôi khó chịu  khác hẳn các sản phẩm khác chỉ có tác dụng tỏa hương làm cho mùi hương và mùi khó chịu trộn lẫn vào nhau.,positive
SP tốt  sạch dầu  độ pH 5.5 phù hợp với làn da nhạy  cảm  hương thơm nhẹ nhiều bọt phù hợp với da dầu. Hơn  nữa tạo độ sách sâu cho da nhưng không làm khô căng bề mặt. So good.,positive
Rất tốt. Gắn kênh đôi với 1 thanh Kington 2G Bus 1333 thì máy tính chạy nhanh hơn hẳn  từ khởi động đến mở và chạy các ứng dụng nặng  mặc dù tổng 6G Ram chỉ chạy ở tốc độ Bus 1333.,positive
Hàng ok có tem nhà phân phối,positive
ĐỘ PHÂN GIẢI THẬT TẦM 10M. CÓ CHẾ ĐỘ CHỐNG RUNG QUANG HỌC. NGON LÀNH TRONG TẦM GIÁ. CÓ THỂ CHỈNH NHIỀU CHẾ ĐỐ QUAY KHÁC NHAU. CHẤT LƯỢNG TỐT,positive
Chắc chắn. Liền lạc và chiếu sáng tốt. Đã đặt mua thêm vài cái cho nguoi thân,positive
Sản phẩm đẹp  tiện dụng  đa chức năng  pin dùng lâu....Khá hài lòng sau 16 ngày sử dụng,positive
đèn sâng tốt,positive
Sản phẩm đẹp  rất tiện dụng khi có thể sử dụng như đèn pin  đèn bàn  có móc treo rất hay...chiếu xa  ánh sáng tốt  pin dùng lâu...Nói chung là rất hài lòng với chất lượng và giá hợp lý ,positive
Đèn đẹp đúng như hình chụp  pin xài lâu  chiếu xa  tiện dụng khi đèn phía sau có thể dùng làm đèn ngủ...nói chung sản phẩm rất tuyệt  giá cả phải chăng.,positive
Sản phẩm tiện lợi,positive
Sản phẩm đẹp  chắc chắn và rất hữu ít nhà mất điện  hoặc đi vào ban đêm...rất hài lòng khi mua sản phẩm này,positive
Thiết kế nhỏ gọn  đẹp  chắc chắn  ánh sáng tốt  pin dùng lâu  nhiều chức năng tiện dụng...rất tuyệt trong tầm giá này,positive
Đèn có mẫu mã đẹp  tiện dụng  có tầm chiếu khá xa. Hài lòng về sản phẩm và chất lượng phục vụ của Lazada. Thanks!,positive
Sản phẩm này đẹp quá  vừa là đèn pin  vừa sử dụng dc khi để đứng như đèn bàn  pin lại sài lâu  cho 5 sao,positive
Hàng tốt  chất lượng  đẹp  tản nhiệt tốt,positive
hàng cực tốt.giá cả phải chăng. tôi đánh giá cao công ty của bạn. chúc cty mua may bán đắt!,positive
Máy may này rất tiện lợi. Là người chưa biết may  nhưng lần đầu tôi cũng đã may được một đôi bao tay dễ thương cho con gai sắp chào đời của mình. Tối rất hài lòng với sản phẩm này :D  ,positive
Dịp sinh nhật vợ vừa rồi tôi có mua máy GS2500 tặng cô ấy. Máy này mẫu mã đẹp  giá cả lại vừa phải  có đèn led  hỗ trợ xâu chỉ giúp vợ tôi dễ may hơn. Máy dùng bàn ga  nhiều chức năng may vá nhưng dễ sử dụng. Brother hay tổ chức miễn phí các buổi hướng dẫn may nên vợ tôi rất thích,positive
Công việc hết sức tất bật của mình hầu như chiếm gần hết thời gian. Ngay cả việc chỉnh sửa quần áo bị rách lại rất khó khăn  nên mình chọn máy may Brother  GS2500 này. Quả thật ưng ý vô cùng  sản phẩm vừa đẹp vừa gọn  lại nhiều lựa chọn cho đường chỉ may  đặt ở đâu trong gian nhà cũng được. Vừa nhanh gọn  vừa bền bỉ  lại thêm thiết kế đẹp đẽ. Rất phù hợp cho việc chăm sóc quần áo gia đình. Máy may dc tất cả các chất liệu vải khồng hề bị kén vải như Thun   Voan hay bò   kaky khi may và cắt gấu quần.,positive
rất tốt và bền  không bị rối chỉ hay hỏng hóc sớm như một số loại máy may tôi mua trước đó. rất tốt,positive
Mình mua tặng bà xã thích làm đồ handmade. Bà xã mình rất thích  khen từ ngoại hình đẹp đến chất lượng máy tốt. Ngoại hình khá bắt mắt  nhìn xinh xinh yêu yêu kiểu con gái rất thích  nhìn là muốn may à. Chất lượng đường may cũng khá đẹp  có điều máy hơi ồn.Bà xã mình khá hài lòng với sản phẩm máy may này.Máy may Brother  là một thương hiệu đẳng cấp. Với 25  mẫu đường may cơ bản và nâng cao có thể đáp ứng được nhu cầu của thậm chí cả thợ may chuyên nghiệp về thùa khuyết zigzag trang trí . Mức giá gần 4 triệu đầu tư cho chiếc máy may thực sự là phù hợp với bạn nào thực sự yêu thích may vá  tự may đo quần áo cho chính mình. Máy may Brother rất bền vì thương hiệu này đã được biết đến từ Nhật.,positive
MÁY CHẠY ÊM  RẤT HÀI LÒNG,positive
Bao ngày tìm hiểu và lựa chọn thật kỹ càng về các dòng máy và mình đã rinh em này về rồi  nói chung là rất ổn máy chạy êm ru  không gây ồn  đường chỉ cũng khá đẹp  còn may được cả kim đôi mà cách sử dụng cũng khá đơn giản mua bên LAZADA  là giá rẻ nhất rồi! chỉ là mình phải mua thêm 1 số phụ kiện chân vịt (không có sắn) và mua thêm suốt chỉ nhựa nhưng việc lắp ráp cũng dễ dàng  máy này hỗ trợ hầu hết các loại chân vịt  nhưng khuyên các bạn nên mua chân vịt loại tốt nhé tóm lại là rất thích em này  Lazada tặng thêm nhiều phụ kiện làm  mình an tâm vì cũng không rảnh để đi chọn máy ngoài cửa hàng nên đặt qua mạng,positive
Mua hàng qua mạng Online mình cũng sợ hên sui nhưng xem trên là Lazada mình có thấy &quot; Chứng Nhận Hàng Chính Hãng của Brother &quot; thấy an tâm với đặt mua vì từ trước tới giờ mua cái gì mình cũng phải đi xem tận nơi chọn và thử máy. Lần này mua đồ mới chính hãng nên cũng không phải đi xem đặt mua luôn trên Lazada  Mình rất tin tưởng đồ điện tử Nhật nên khi tìm thấy niềm đam mê may vá là mình nghĩ ngay đến đồ gia dụng Nhật và mình đã tìm thấy Brother ở Lazada. Máy may gia đình nên rất tiện lợi  có thể bê ra bê vào dễ dang không như máy may bàn đạp cũ các cô hay dùng hồi trước. Tiện lợi hơn nữa là máy Brother hỗ trợ tối đa cho người may không chuyên. Một người chưa từng học may như mình cũng có thể thao tác dễ dang trên máy với những chỉ dẫn rất dễ hiểu. ,positive
Thương hiệu Borther khá nổi tiếng nên mình an tâm khi mua sản phẩm này  Sản phẩm có hướng dẫn sử dụng rõ ràng  có nhiều chân vịt  nhiều đường chỉ nên may nhiều kiểu được. Có đèn chiếu ngnên tiện dụng khi mình may vào buổi tối. Sản phẩm này có thể vắt sổ được nên cũng tiện lúc đầu  mình phải mua thêm phụ kiện vắt sổ bên ngoài nhưng lazada tặng thêm phụ kiện may  quá tuyệt luôn  Các loại chân vịt trên có công dụng riêng . Chân vịt may thường (chữ J) Chân vịt thùa khuyết (chữ A) Chân vịt tra khóa (chữ I) Chân vịt đính cúc (chữ M) Sản phẩm được tặng kèm chân vịt vắt sổ  kim đôi  cũng có thể mua các chân vịt bên ngoài về thay thế,positive
Mình đã đặt mua và sử dụng máy may Brother GS2500  máy nhỏ gọn  rất dễ sử dụng  có đĩa hướng dẫn sử dụng và hướng dẫn may rất tiện lợi cho người chưa biết sử dụng máy may như mình. Đặc biệt  thiết kế máy có đèn chiếu sáng  rất tiện cho việc xỏ chỉ và thao tác trong lúc may.   Lazada chu đáo nhiệt huyết khi đặt hàng xong có thông báo cho bên mình thời gian giao máy và nhận máy rất chính xác  có riêng số kỹ thuật viên để cần hỏi về phần kỹ thuật sử dụng máy và gọi lại cho mình rất nhiệt tình. Cảm ơn Lazada nhé mình sẽ ủng hộ Lazada dài dài nha ,positive
Nhà mình mới mua cái máy may này. Nhỏ gọn  dễ sử dụng  không gây tiếng ồn lớn. Bữa may thử gấu quần jeans thấy rất tốt.Nhiều đường may trang trí  mắt mình kém nhưng có hỗ trợ xỏ chỉ. Thường thì vải dày khó may lắm nhưng máy này may đường chỉ đều và đẹp. Máy may này phù hợp dùng trong gia đình. May những thứ to hơn thì hơi khó.,positive
Mình nhận được máy rồi! Cảm ơn Lazada nhé  máy chạy êm  đường may đẹp mà còn dễ sử dụng nữa,positive
Tôi nhập voucher của Nesle thì giá vô cùng tốt  giao hàng cực nhanh.  Love it,positive
từ khi có sản phẩm này tôi thích vào bếp hơn   tôi rất hài lòng với bộ sản phẩm này và dịch vụ tư vấn khách hàng của nhà cung cấp ,positive
Bao bì được bọc kỹ càng  sản phẩm dùng rất tốt.,positive
Mainboard mình Gigabye dùng Ram này thật Tuyệt .Cảm ơn Ladaza  em giao hàng và đối tác bán hàng .  ,positive
giao hàng nhanh  sản phẩm đẹp bao bì đầy đủ  5 sao  ,positive
Rất tốt  giúp giảm cân  làm căng da đẹp,positive
Fan trung thành của Lenovo  chả hiểu vì sao  chắc tại tên nghe hay. Và em Z5070 cũng không làm mình thất vọng. Máy chạy nhanh  ánh sáng dịu và âm thanh các bạn game thủ chuyên nghiệp thế nào thì mình không biết  chứ mình dùng chủ yếu cho xem phim nghe nhạc thì cảm thấy rất êm tai và sống động. Cảm thấy ấn tượng bất ngờ với âm thanh em này. Cảm ơn lazada.,positive
ok !  ,positive
Sp chắc chắn  thiết kế thông minh. Cảm ơn lazada,positive
Xưa dùng loại cổ dài  mua thêm cổ ngắn của Kingstore  thấy gọn và tiện  dễ điều chỉnh,positive
Chất lượng tốt,positive
đẹp,positive
Tớ rất hài lòng vì mua hàng hoá của cửa hàng Lazada. Dù tớ chưa chạy ở công viên mà đã đeo thử rồi và thấy nó phù hợp với tớ. Cám ơn một lần nữa nhé. ,positive
Chất lượng mà giá lại hợp lý. Hiện giờ vẫn chưa có vấn đề gì. ,positive
Máy khoan khỏe  nhìn đẹp  trông có vẻ bền,positive
rất hài lòng về sản phẩm. Nhỏ gọn  tiện lợi mà giá cũng rất ok cho một vật dụng gia đình như thế này.,positive
Sp dễ lắp  dễ sử dụng và cực kỳ an toàn và tiện lợi,positive
Máy đẹp  chạy êm  lazada bao máy rất kỹ  nhieu phụ kiện tặng kèm. Rất hài lòng :),positive
Máy thì mình không chê chút nào nhưng chỉ hơi yếu chắc tai mình quen sd máy công nghiệp nên đến khi sd máy gia đình thì thấy vậy   nhưng máy này may êm hơn máy công nghiệp rất nhiều các bạn nhé  cách sd cũng đơn giản nhất là đi đâu cũng mang theo dc . Vì cuối tuần cuối hay về bà ngoại tụ tập cùng các chị may vá cho vui ...,positive
Máy may của Hãng Brother Nhật nên mua về rất yên tâm  dù cũng tiếc tiền lắm nhưng máy này gần như rẻ nhất trong các dòng máy may của Brother rồi. May được nhiều kiểu  có kiểu zic zac ứng dụng được để vắt sổ nữa ( tuy không chuyên nghiệp bằng máy vắt sổ chuyên dụng). Đường may đều  đẹp  thiết kế vừa đủ để trong gia đình. Thích nhất là món quà bộ phụ kiện tặng kèm và túi máy may,positive
Máy đẹp  nhỏ gọn  tiện dụng  đường may chắc chắn  cho 5 sao,positive
Máy rất êm không ồn như các máy khác  đường may đẹp  sắc nét,positive
Máy nhỏ gọn nhưng đa chức năng rất tốt!!! Mình sẽ mua cho chị mình một chiếc,positive
Nhà mình mới mua chiếc máy may này và thấy dùng khá thích. Máy có thiết kế đơn giản  gọn  nhẹ mà lại rất sang trọng phù hợp với những nhà chật như nhà mình. Máy có động cơ khỏe  chạy êm không gây nhiều tiếng ồn  đường chỉ cũng khá đẹp và giá cả cũng hợp lí.,positive
Giá rẻ mà chất lượng tốt. Co hiệu quả khi sử dụng sản phẩm ,positive
Ngọt  thơm như nước trái cây tươi. ,positive
